Plano manut.,CenTrab respon.,Texto item man.,Loc.instalação,Data planejada,Dta.iníc.progr.,Data encermto.,Última ordem,Ordem,Tipo de ordem
TBRRDTCH031A,TCNBRPM,Teste operativo (BRR) CH-22K5_5T,MT-S-41206-DL22-CH-22K5_5T,8/7/2025,8/7/2025,,2200249423,2200249423,TDET
TBRRDTCH035A,TCNBRPM,Teste operativo (BRR) CH-23K5_5T,MT-S-41206-DL23-CH-23K5_5T,8/7/2025,8/7/2025,,2200249424,2200249424,TDET
TTQLDTGM001A,TCNTQPM,Teste operativo (TQL) GM-1,MT-S-41202-INCA-GM-1,8/7/2025,8/7/2025,,2200265073,,TDET
TSGTDTGM001A,TTASGPM,Teste operativo (SGT) GM-1,MT-S-41105-INCA-GM-1,9/7/2025,9/7/2025,,2200264789,,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,9/7/2025,9/7/2025,,2200265931,,TDET
TSGPDTGM001A,TCNSGPM,Teste operativo (SGP) GM-1,MT-S-41107-INCA-GM-1,10/7/2025,10/7/2025,,2200264459,,TDET
TORPDTGM001A,TSEOPPM,Teste operativo (ORP) GM-1,MT-S-42507-INCA-GM-1,10/7/2025,10/7/2025,,2200264224,,TDET
TJCBDTGM001A,TSECNPM,Teste operativo (JCB) GM-1,MT-S-70157-INCA-GM-1,10/7/2025,10/7/2025,,2200265739,,TDET
TITDDTGM001A,TSEOPPM,Teste operativo (ITD) GM-1,MT-S-70179-INCA-GM-1,10/7/2025,10/7/2025,,2200264193,,TDET
TNLSDTGM001A,TSEOPPM,Teste operativo (NLS) GM-1,MT-S-70178-INCA-GM-1,10/7/2025,10/7/2025,,2200264200,,TDET
TBRRDTDJ036A,TCNBRPM,Teste operativo (BRR) DJ-7K4,MT-S-41206-DT03-DJ-7K4,11/7/2025,11/7/2025,,2200262817,2200262817,TDET
TBRRDTDJ020A,TCNBRPM,Teste operativo (BRR) DJ-16F4,MT-S-41206-FS01-DJ-16F4,11/7/2025,11/7/2025,,2200262815,2200262815,TDET
TSBADTDJ003A,TCNTQPM,Teste operativo (SBA) DJ-2M4,MT-S-40163-FM02-DJ-2M4,11/7/2025,11/7/2025,,2200262885,2200262885,TDET
TSBADTDJ002A,TCNTQPM,Teste operativo (SBA) DJ-4M4,MT-S-40163-FL04-DJ-4M4,11/7/2025,11/7/2025,,2200262884,2200262884,TDET
TSBADTDJ001A,TCNTQPM,Teste operativo (SBA) DJ-3M4,MT-S-40163-FL03-DJ-3M4,11/7/2025,11/7/2025,,2200262883,2200262883,TDET
TBRRDTDJ018A,TCNBRPM,Teste operativo (BRR) DJ-11F4,MT-S-41206-FR01-DJ-11F4,11/7/2025,11/7/2025,,2200262813,2200262813,TDET
TBRRDTDJ029A,TCNBRPM,Teste operativo (BRR) DJ-13F4,MT-S-41206-FR02-DJ-13F4,11/7/2025,11/7/2025,,2200262816,2200262816,TDET
TBRRDTDJ019A,TCNBRPM,Teste operativo (BRR) DJ-15F4,MT-S-41206-FS01-DJ-15F4,11/7/2025,11/7/2025,,2200262814,2200262814,TDET
TRBSDTGM001A,TCNRBPM,Teste operativo (RBS) GM-1,MT-S-41203-INCA-GM-1,11/7/2025,11/7/2025,,2200266135,,TDET
TUGMDTGM000A,TLEIPPM,Teste operativo (UGM) GM-1,MT-S-70277-INCA-GM-1,11/7/2025,11/7/2025,,2200264141,,TDET
TUTMDTDJ013A,TNTTMPM,Teste operativo (UTM) DJ-7P4,MT-S-41211-FM07-DJ-7P4,12/7/2025,14/7/2025,,2200263030,2200263030,TDET
TCNLDTGM000A,TSECNPM,Teste operativo (CNL) GM-01,MT-S-42605-INCA-GM-01,12/7/2025,12/7/2025,,2200264950,,TDET
TIBQDTGM001A,TLEIBPM,Teste operativo (IBQ) GM-1,MT-S-70177-INCA-GM-1,12/7/2025,12/7/2025,,2200265249,,TDET
TBRRDTDJ001A,TCNBRPM,Teste operativo (BRR) DJ-11K4,MT-S-41206-DC02-DJ-11K4,13/7/2025,14/7/2025,,2200262957,2200262957,TDET
TUBGDTGM001A,TLEGVPM,Teste operativo (UBG) GM-1,MT-S-72183-INCA-GM-1,13/7/2025,13/7/2025,,2200263424,,TDET
TVZQDTGM000A,TNTVPPM,Teste operativo (VZQ) GM-1,MT-S-79321-INCA-GM-1,13/7/2025,13/7/2025,,2200264745,,TDET
TSBADTGM001A,TCNTQPM,Teste operativo (SBA) GM-1,MT-S-40163-INCA-GM-1,14/7/2025,14/7/2025,,2200264681,,TDET
TIIGDTGM000A,TLEIPPM,Teste operativo (IIG) GM-01,MT-S-41401-INCA-GM-01,14/7/2025,14/7/2025,,2200263766,,TDET
TUTMDTDJ014A,TNTTMPM,Teste operativo (UTM) DJ-3P4,MT-S-41211-DG01-DJ-3P4,15/7/2025,15/7/2025,,2200263460,2200263460,TDET
TBRRDTDJ011A,TCNBRPM,Teste operativo (BRR) DJ-23K4,MT-S-41206-DL23-DJ-23K4,15/7/2025,15/7/2025,,2200263266,2200263266,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,16/7/2025,16/7/2025,,2200265931,,TDET
TPMNDTDJ017A,TCNPMPM,Teste operativo (PMN) DJ-9K4,MT-S-41201-FT05-DJ-9K4,18/7/2025,18/7/2025,,2200263713,2200263713,TDET
TPMNDTDJ016A,TCNPMPM,Teste operativo (PMN) DJ-14P4,MT-S-41201-FT05-DJ-14P4,18/7/2025,18/7/2025,,2200263712,2200263712,TDET
TRBSDTGM001A,TCNRBPM,Teste operativo (RBS) GM-1,MT-S-41203-INCA-GM-1,18/7/2025,18/7/2025,,2200266135,,TDET
TUTMDTDJ024A,TNTTMPM,Teste operativo (UTM) DJ-10P4,MT-S-41211-FT15-DJ-10P4,19/7/2025,21/7/2025,,2200263887,2200263887,TDET
TPMNDTGM000A,TCNPMPM,Teste operativo (PMN) GM-1,MT-S-41201-INCA-GM-1,19/7/2025,19/7/2025,,2200264899,,TDET
TGVDDTGM000A,TLEGVPM,Teste operativo (GVD) GM-1,MT-S-43604-INCA-GM-1,19/7/2025,19/7/2025,,2200264554,,TDET
TGVSDTGM000A,TLEGVPM,Teste operativo (GVS) GM-1,MT-S-70276-INCA-GM-1,19/7/2025,19/7/2025,,2200266204,,TDET
TPMNDTDJ018A,TCNPMPM,Teste operativo (PMN) DJ-7P4,MT-S-41201-FM07-DJ-7P4,20/7/2025,21/7/2025,,2200263912,2200263912,TDET
TUPEDTDJ002A,TLEMQPM,Teste operativo (UPE) DJ-3M4,MT-S-40136-FL03-DJ-3M4,20/7/2025,21/7/2025,,2200263942,2200263942,TDET
TCSNDTGM001A,TLEGVPM,Teste operativo (CSN) GM-1,MT-S-74102-INCA-GM-1,20/7/2025,20/7/2025,,2200264085,,TDET
TVZPDTRL004A,TNTVPPM,Teste operativo (VZP) RL-8F4,MT-S-72110-DD08-RL-8F4,20/7/2025,21/7/2025,,2200263944,2200263944,TDET
TVZPDTCH001A,TNTVPPM,Teste operativo (VZP) CH-70K4,MT-S-72110-DC01-CH-70K4,21/7/2025,21/7/2025,,2200239353,,TDET
TORPDTDJ020A,TSEOPPM,Teste operativo (ORP) DJ-5U4,MT-S-42507-FT03-DJ-5U4,21/7/2025,21/7/2025,,2200264039,2200264039,TDET
TUTMDTDJ026A,TNTTMPM,Teste operativo (UTM) DJ-26F4,MT-S-41211-INCA-DJ-26F4,22/7/2025,22/7/2025,,2200264153,2200264153,TDET
TIJADTGM001A,TSEIJPM,Teste operativo (IJA) GM-1,MT-S-40313-INCA-GM-1,22/7/2025,22/7/2025,,2200265104,,TDET
TBRRDTGM001A,TCNBRPM,Teste operativo (BRR) GM-1,MT-S-41206-INCA-GM-1,22/7/2025,22/7/2025,,2200265103,,TDET
TBRNDTGM000A,TLEMQPM,Teste operativo (BRN) GM-1,MT-S-70250-INCA-GM-1,22/7/2025,22/7/2025,,2200265102,,TDET
TUTMDTDJ015A,TNTTMPM,Teste operativo (UTM) DJ-4P4,MT-S-41211-DG02-DJ-4P4,23/7/2025,23/7/2025,,2200264181,2200264181,TDET
TPMNDTDJ021A,TCNPMPM,Teste operativo (PMN) DJ-4P4,MT-S-41201-FL04-DJ-4P4,23/7/2025,23/7/2025,,2200264050,2200264050,TDET
TBRRDTDJ009A,TCNBRPM,Teste operativo (BRR) DJ-21K4,MT-S-41206-DL21-DJ-21K4,23/7/2025,23/7/2025,,2200264048,2200264048,TDET
TUTMDTDJ027A,TNTTMPM,Teste operativo (UTM) DJ-27F4,MT-S-41211-DT14-DJ-27F4,23/7/2025,23/7/2025,,2200264182,2200264182,TDET
TUTMDTGM001A,TNTTMPM,Teste operativo (UTM) GM-1,MT-S-41211-INCA-GM-1,23/7/2025,23/7/2025,,2200265132,,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,23/7/2025,23/7/2025,,2200265931,,TDET
TRBSDTCH170A,TCNRBPM,Teste operativo (RBS) CH-4U5,MT-S-41203-FM04-CH-4U5,24/7/2025,24/7/2025,,2200250535,2200250535,TDET
TRBSDTCH171A,TCNRBPM,Teste operativo (RBS) CH-5U3,MT-S-41203-FT02-CH-5U3,24/7/2025,24/7/2025,,2200250536,2200250536,TDET
TRBSDTCH172A,TCNRBPM,Teste operativo (RBS) CH-5U5,MT-S-41203-FT02-CH-5U5,24/7/2025,24/7/2025,,2200250537,2200250537,TDET
TMCLDTCH001A,TNTMCPM,Teste operativo (MCL) CH-40K4,MT-S-41209-DC05-CH-40K4,24/7/2025,24/7/2025,,2200240292,,TDET
TTQLDTDJ026A,TCNTQPM,Teste operativo (TQL) DJ-8P4,MT-S-41202-FT02-DJ-8P4,24/7/2025,24/7/2025,,2200264241,2200264241,TDET
TTQLDTDJ025A,TCNTQPM,Teste operativo (TQL) DJ-3M4,MT-S-41202-FT02-DJ-3M4,24/7/2025,24/7/2025,,2200264240,2200264240,TDET
TBRRDTCH100A,TCNBRPM,Teste operativo (BRR) CH-20K5,MT-S-41206-FT06-CH-20K5,25/7/2025,25/7/2025,,2200250300,2200250300,TDET
TBRRDTCH101A,TCNBRPM,Teste operativo (BRR) CH-20K6,MT-S-41206-FT06-CH-20K6,25/7/2025,25/7/2025,,2200250601,2200250601,TDET
TIJADTDJ006A,TSEIJPM,Teste operativo (IJA) DJ-8K4,MT-S-40313-DL08-DJ-8K4,25/7/2025,25/7/2025,,2200264314,2200264314,TDET
TRBSDTGM001A,TCNRBPM,Teste operativo (RBS) GM-1,MT-S-41203-INCA-GM-1,25/7/2025,25/7/2025,,2200266135,,TDET
TUJGDTDJ027A,TTAJGPM,Teste operativo (UJG) DJ-9US4,MT-S-41101-FR09-DJ-9US4,26/7/2025,28/7/2025,,2200264411,2200264411,TDET
TBDPDTGM001A,TTABDPM,Teste operativo (BDP) GM-2,MT-S-70113-FE01-GM-2,26/7/2025,26/7/2025,,2200265513,,TDET
TBDPDTGM002A,TTABDPM,Teste operativo (BDP) GM-1,MT-S-70113-INCA-GM-1,26/7/2025,26/7/2025,,2200265514,,TDET
TUTMDTDJ010A,TNTTMPM,Teste operativo (UTM) DJ-12P4,MT-S-41211-FL12-DJ-12P4,27/7/2025,28/7/2025,,2200264469,2200264469,TDET
TVZPDTGM001A,TNTVPPM,Teste operativo (VZP) GM-1,MT-S-72110-INCA-GM-1,27/7/2025,27/7/2025,,2200265757,,TDET
TIBADTRL008A,TLEIBPM,Teste operativo (IBA) RL-216F4,MT-S-42503-DL16-RL-216F4,27/7/2025,28/7/2025,,2200264421,2200264421,TDET
TTQLDTDJ018A,TCNTQPM,Teste operativo (TQL) DJ-6M4,MT-S-41202-FL06-DJ-6M4,28/7/2025,28/7/2025,,2200264483,2200264483,TDET
TUTMDTDJ017A,TNTTMPM,Teste operativo (UTM) DJ-8P4,MT-S-41211-DG05-DJ-8P4,28/7/2025,28/7/2025,,2200264619,2200264619,TDET
TORPDTDJ022A,TSEOPPM,Teste operativo (ORP) DJ-13K4,MT-S-42507-FT04-DJ-13K4,28/7/2025,28/7/2025,,2200264578,2200264578,TDET
TIBADTDJ005A,TLEIBPM,Teste operativo (IBA) DJ-207F4,MT-S-42503-FT01-DJ-207F4,28/7/2025,28/7/2025,,2200264555,2200264555,TDET
TVPNDTGM001A,TCNVEPM,Teste operativo (VPN) GM-1,MT-S-41104-INCA-GM-1,28/7/2025,28/7/2025,,3200021763,,TPSV
TRBSDTCH157A,TCNRBPM,Teste operativo (RBS) CH-18K3,MT-S-41203-DL18-CH-18K3,29/7/2025,29/7/2025,,2200250908,2200250908,TDET
TRBSDTCH154A,TCNRBPM,Teste operativo (RBS) CH-18K6,MT-S-41203-DL18-CH-18K6,29/7/2025,29/7/2025,,2200250907,2200250907,TDET
TUEMDTCH112A,TTAEMPM,Teste operativo (UEM) CH-86F8,MT-S-41103-FT10-CH-86F8,29/7/2025,29/7/2025,,2200250912,2200250912,TDET
TUEMDTCH113A,TTAEMPM,Teste operativo (UEM) CH-85F8,MT-S-41103-INCA-CH-85F8,29/7/2025,29/7/2025,,2200250913,2200250913,TDET
TUEMDTCH114A,TTAEMPM,Teste operativo (UEM) CH-107F3,MT-S-41103-FT07-CH-107F3,29/7/2025,29/7/2025,,2200250914,2200250914,TDET
TUEMDTCH115A,TTAEMPM,Teste operativo (UEM) CH-89F8,MT-S-41103-FT07-CH-89F8,29/7/2025,29/7/2025,,2200250915,2200250915,TDET
TJMQDTGM000A,TLEIBPM,Teste operativo (JMQ) GM-1,MT-S-70148-INCA-GM-1,29/7/2025,29/7/2025,,2200265825,,TDET
TMCLDTGM000A,TNTMCPM,Teste operativo (MCL) GM-1,MT-S-41209-INCA-GM-1,30/7/2025,30/7/2025,,2200265836,,TDET
TMQTDTGM001A,TLEMQPM,Teste operativo (MQT) GM-1,MT-S-41102-INCA-GM-1,30/7/2025,30/7/2025,,2200265838,,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,30/7/2025,30/7/2025,,2200265931,,TDET
TUTMDTDJ022A,TNTTMPM,Teste operativo (UTM) DJ-7K4,MT-S-41211-FT12-DJ-7K4,31/7/2025,31/7/2025,,2200264797,2200264797,TDET
TUTMDTDJ023A,TNTTMPM,Teste operativo (UTM) DJ-5K4,MT-S-41211-FT12-DJ-5K4,31/7/2025,31/7/2025,,2200264798,2200264798,TDET
TRBSDTDJ069A,TCNRBPM,Teste operativo (RBS) DJ-17F4,MT-S-41203-FS02-DJ-17F4,31/7/2025,31/7/2025,,2200264786,2200264786,TDET
TRBSDTDJ070A,TCNRBPM,Teste operativo (RBS) DJ-18F4,MT-S-41203-FS02-DJ-18F4,31/7/2025,31/7/2025,,2200264787,2200264787,TDET
TUEMDTCH004A,TTAEMPM,Teste operativo (UEM) CH-3K5,MT-S-41103-DL03-CH-3K5,1/8/2025,1/8/2025,,2200251239,2200251239,TDET
TUEMDTCH003A,TTAEMPM,Teste operativo (UEM) CH-3K3,MT-S-41103-DL03-CH-3K3,1/8/2025,1/8/2025,,2200251238,2200251238,TDET
TRBSDTGM001A,TCNRBPM,Teste operativo (RBS) GM-1,MT-S-41203-INCA-GM-1,1/8/2025,1/8/2025,,2200266135,,TDET
TUEMDTGM001A,TTAEMPM,Teste operativo (UEM) GM-1,MT-S-41103-INCA-GM-1,1/8/2025,1/8/2025,,2200264858,,TDET
TUJGDTGM001A,TTAJGPM,Teste operativo (UJG) GM-1,MT-S-41101-INCA-GM-1,1/8/2025,1/8/2025,,2200264941,,TDET
TUEMDTCH005A,TTAEMPM,Teste operativo (UEM) CH-3K6_6T,MT-S-41103-DL03-CH-3K6_6T,2/8/2025,4/8/2025,,2200251309,2200251309,TDET
TBCADTDJ006A,TSEBAPM,Teste operativo (BCA) DJ-11K4,MT-S-41205-DL11-DJ-11K4,2/8/2025,4/8/2025,,2200264732,2200264732,TDET
TUSSDTDJ003A,TTASSPM,Teste operativo (USS) DJ-6U4,MT-S-41150-FL06-DJ-6U4,2/8/2025,4/8/2025,,2200264925,2200264925,TDET
TVPNDTDJ010A,TCNVEPM,Teste operativo (VPN) DJ-9U4,MT-S-41104-FM09-DJ-9U4,2/8/2025,4/8/2025,,2200264926,2200264926,TDET
TUSSDTGM000A,TTASSPM,Teste operativo (USS) GM-1,MT-S-41150-INCA-GM-1,2/8/2025,2/8/2025,,2200265955,,TDET
TJFADTGM000A,TSEJFPM,Teste operativo (JFA) INFR-GM-1,MT-S-71113-INFR-GM-1,2/8/2025,2/8/2025,,2200265950,,TDET
TBCADTRL001A,TSEBAPM,Teste operativo (BCA) RL-206F4,MT-S-41205-DD06-RL-206F4,2/8/2025,4/8/2025,,2200264733,2200264733,TDET
TBCADTGM000A,TSEBAPM,Teste operativo (BCA) GM-01,MT-S-41205-INCA-GM-01,3/8/2025,3/8/2025,,2200265959,,TDET
TIUGDTGM000A,TSEBAPM,Teste operativo (IUG) GM-01,MT-S-41207-INCA-GM-01,4/8/2025,4/8/2025,,2200266123,,TDET
TCSNDTRL007A,TLEGVPM,Teste operativo (CSN) RL-8F4,MT-S-74102-DD08-RL-8F4,4/8/2025,4/8/2025,,2200264953,2200264953,TDET
TUBGDTDJ004A,TLEGVPM,Teste operativo (UBG) DJ-52TSA1,MT-S-72183-INCA-DJ-52TSA1,5/8/2025,5/8/2025,,2200261493,2200261493,TDET
TUNPDTGM001A,TTANPPM,Teste operativo (UNP) GM-1,MT-S-40327-INCA-GM-1,5/8/2025,5/8/2025,,2200266217,,TDET
TBC3DTGM001A,TLEIBPM,Teste operativo (BC3) GM-1,MT-S-44302-INCA-GM-1,5/8/2025,5/8/2025,,2200265880,,TDET
TZPRDTGM001A,TNTVPPM,Teste operativo (ZPR) GM-1,MT-S-41213-INCA-GM-1,6/8/2025,6/8/2025,,2200264624,,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,6/8/2025,6/8/2025,,2200265931,,TDET
TIIGDTCH000A,TLEIPPM,Teste operativo (IIG) CH-3K5,MT-S-41401-DM03-CH-3K5,7/8/2025,7/8/2025,,2200251593,2200251593,TDET
TRBSDTDJ019A,TCNRBPM,Teste operativo (RBS) DJ-70P4,MT-S-41203-FC08-DJ-70P4,7/8/2025,7/8/2025,,2200265127,2200265127,TDET
TTQLDTGM001A,TCNTQPM,Teste operativo (TQL) GM-1,MT-S-41202-INCA-GM-1,7/8/2025,7/8/2025,,2200265073,,TDET
TIUGDTDJ000A,TSEBAPM,Teste operativo (IUG) DJ-8K4,MT-S-41207-DM08-DJ-8K4,8/8/2025,8/8/2025,,2200265252,2200265252,TDET
TRBSDTGM001A,TCNRBPM,Teste operativo (RBS) GM-1,MT-S-41203-INCA-GM-1,8/8/2025,8/8/2025,,2200266135,,TDET
TSGTDTGM001A,TTASGPM,Teste operativo (SGT) GM-1,MT-S-41105-INCA-GM-1,8/8/2025,8/8/2025,,2200264789,,TDET
TBRRDTDJ006A,TCNBRPM,Teste operativo (BRR) DJ-10K4,MT-S-41206-DL10-DJ-10K4,9/8/2025,11/8/2025,,2200265335,2200265335,TDET
TBRRDTDJ005A,TCNBRPM,Teste operativo (BRR) DJ-9K4,MT-S-41206-DL09-DJ-9K4,9/8/2025,11/8/2025,,2200265334,2200265334,TDET
TJFADTDJ021A,TSEJFPM,Teste operativo (JFA) DJ-20K4,MT-S-71113-DM20-DJ-20K4,9/8/2025,11/8/2025,,2200265469,2200265469,TDET
TSGPDTGM001A,TCNSGPM,Teste operativo (SGP) GM-1,MT-S-41107-INCA-GM-1,9/8/2025,9/8/2025,,2200264459,,TDET
TORPDTGM001A,TSEOPPM,Teste operativo (ORP) GM-1,MT-S-42507-INCA-GM-1,9/8/2025,9/8/2025,,2200264224,,TDET
TJCBDTGM001A,TSECNPM,Teste operativo (JCB) GM-1,MT-S-70157-INCA-GM-1,9/8/2025,9/8/2025,,2200265739,,TDET
TITDDTGM001A,TSEOPPM,Teste operativo (ITD) GM-1,MT-S-70179-INCA-GM-1,9/8/2025,9/8/2025,,2200264193,,TDET
TNLSDTGM001A,TSEOPPM,Teste operativo (NLS) GM-1,MT-S-70178-INCA-GM-1,9/8/2025,9/8/2025,,2200264200,,TDET
TUGMDTGM000A,TLEIPPM,Teste operativo (UGM) GM-1,MT-S-70277-INCA-GM-1,10/8/2025,10/8/2025,,2200264141,,TDET
TRBSDTCH028A,TCNRBPM,Teste operativo (RBS) CH-15K5_5T,MT-S-41203-DL15-CH-15K5_5T,11/8/2025,11/8/2025,,2200252098,2200252098,TDET
TCNLDTDJ018A,TSECNPM,Teste operativo (CNL) DJ-3K4,MT-S-42605-FT03-DJ-3K4,11/8/2025,11/8/2025,,2200265632,2200265632,TDET
TCNLDTGM000A,TSECNPM,Teste operativo (CNL) GM-01,MT-S-42605-INCA-GM-01,11/8/2025,11/8/2025,,2200264950,,TDET
TIBQDTGM001A,TLEIBPM,Teste operativo (IBQ) GM-1,MT-S-70177-INCA-GM-1,11/8/2025,11/8/2025,,2200265249,,TDET
TCSNDTCH008A,TLEGVPM,Teste operativo (CSN) CH-11J5_5T,MT-S-74102-DL10-CH-11J5_5T,12/8/2025,12/8/2025,,2200252131,2200252131,TDET
TUBGDTGM001A,TLEGVPM,Teste operativo (UBG) GM-1,MT-S-72183-INCA-GM-1,12/8/2025,12/8/2025,,2200263424,,TDET
TVZQDTGM000A,TNTVPPM,Teste operativo (VZQ) GM-1,MT-S-79321-INCA-GM-1,12/8/2025,12/8/2025,,2200264745,,TDET
TUVGDTDJ002A,TTANPPM,Teste operativo (UVG) DJ-2P4,MT-S-40005-DG02-DJ-2P4,13/8/2025,13/8/2025,,2200265831,2200265831,TDET
TSBADTGM001A,TCNTQPM,Teste operativo (SBA) GM-1,MT-S-40163-INCA-GM-1,13/8/2025,13/8/2025,,2200264681,,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,13/8/2025,13/8/2025,,2200265931,,TDET
TIIGDTGM000A,TLEIPPM,Teste operativo (IIG) GM-01,MT-S-41401-INCA-GM-01,13/8/2025,13/8/2025,,2200263766,,TDET
TTQLDTDJ038A,TCNTQPM,Teste operativo (TQL) DJ-70K4,MT-S-41202-DC10-DJ-70K4,14/8/2025,14/8/2025,,2200265852,2200265852,TDET
TUTMDTDJ025A,TNTTMPM,Teste operativo (UTM) DJ-6P4,MT-S-41211-FT15-DJ-6P4,15/8/2025,15/8/2025,,2200265947,2200265947,TDET
TRBSDTGM001A,TCNRBPM,Teste operativo (RBS) GM-1,MT-S-41203-INCA-GM-1,15/8/2025,15/8/2025,,2200266135,,TDET
TVPNDTDJ018A,TCNVEPM,Teste operativo (VPN) DJ-8K4,MT-S-41104-DL08-DJ-8K4,16/8/2025,18/8/2025,,3200021710,3200021710,TPSV
TRBSDTCH087A,TCNRBPM,Teste operativo (RBS) CH-4PT1,MT-S-41203-FT01-CH-4PT1,16/8/2025,18/8/2025,,2200252393,2200252393,TDET
TRBSDTCH084A,TCNRBPM,Teste operativo (RBS) CH-1UT1,MT-S-41203-FT01-CH-3UT1,16/8/2025,18/8/2025,,2200252392,2200252392,TDET
TIBADTDJ007A,TLEIBPM,Teste operativo (IBA) DJ-2M4,MT-S-42503-FL02-DJ-2M4,16/8/2025,18/8/2025,,2200265969,2200265969,TDET
TORPDTDJ002A,TSEOPPM,Teste operativo (ORP) DJ-6K4,MT-S-42507-DL06-DJ-6K4,16/8/2025,18/8/2025,,2200265986,2200265986,TDET
TRBSDTDJ000A,TCNRBPM,Teste operativo (RBS) DJ-12U4,MT-S-41203-FR04-DJ-12U4,17/8/2025,18/8/2025,,2200265952,2200265952,TDET
TUEMDTCF000A,TTAEMPM,Teste operativo (UEM) CF-81F9_AZ,MT-S-41103-INCA-CF-81F9_AZ,18/8/2025,18/8/2025,,2200263427,2200263427,TDET
TUEMDTCF001A,TTAEMPM,Teste operativo (UEM) CF-81F9_BR,MT-S-41103-INCA-CF-81F9_BR,18/8/2025,18/8/2025,,2200263428,2200263428,TDET
TUEMDTCF002A,TTAEMPM,Teste operativo (UEM) CF-81F9_VM,MT-S-41103-INCA-CF-81F9_VM,18/8/2025,18/8/2025,,2200263429,2200263429,TDET
TUEMDTCF003A,TTAEMPM,Teste operativo (UEM) CF-82F9_AZ,MT-S-41103-INCA-CF-82F9_AZ,18/8/2025,18/8/2025,,2200263430,2200263430,TDET
TUEMDTCF004A,TTAEMPM,Teste operativo (UEM) CF-82F9_BR,MT-S-41103-INCA-CF-82F9_BR,18/8/2025,18/8/2025,,2200263431,2200263431,TDET
TUEMDTCF005A,TTAEMPM,Teste operativo (UEM) CF-82F9_VM,MT-S-41103-INCA-CF-82F9_VM,18/8/2025,18/8/2025,,2200263432,2200263432,TDET
TUEMDTCF006A,TTAEMPM,Teste operativo (UEM) CF-84F9_AZ,MT-S-41103-INCA-CF-84F9_AZ,18/8/2025,18/8/2025,,2200263433,2200263433,TDET
TUEMDTCF007A,TTAEMPM,Teste operativo (UEM) CF-84F9_BR,MT-S-41103-INCA-CF-84F9_BR,18/8/2025,18/8/2025,,2200263434,2200263434,TDET
TUEMDTCF008A,TTAEMPM,Teste operativo (UEM) CF-84F9_VM,MT-S-41103-INCA-CF-84F9_VM,18/8/2025,18/8/2025,,2200263435,2200263435,TDET
TPMNDTGM000A,TCNPMPM,Teste operativo (PMN) GM-1,MT-S-41201-INCA-GM-1,18/8/2025,18/8/2025,,2200264899,,TDET
TGVDDTGM000A,TLEGVPM,Teste operativo (GVD) GM-1,MT-S-43604-INCA-GM-1,18/8/2025,18/8/2025,,2200264554,,TDET
TGVSDTGM000A,TLEGVPM,Teste operativo (GVS) GM-1,MT-S-70276-INCA-GM-1,18/8/2025,18/8/2025,,2200266204,,TDET
TBDPDTDJ004A,TTABDPM,Teste operativo (BDP) DJ-8U4,MT-S-70113-FL08-DJ-8U4,19/8/2025,19/8/2025,,2200266071,2200266071,TDET
TCSNDTGM001A,TLEGVPM,Teste operativo (CSN) GM-1,MT-S-74102-INCA-GM-1,19/8/2025,19/8/2025,,2200264085,,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,20/8/2025,20/8/2025,,2200265931,,TDET
TORPDTCH069A,TSEOPPM,Teste operativo (ORP) CH-3F8,MT-S-42507-FE01-CH-3F8,21/8/2025,21/8/2025,,2200252649,2200252649,TDET
TORPDTCH073A,TSEOPPM,Teste operativo (ORP) CH-1FS1,MT-S-42507-FE01-CH-1FS1,21/8/2025,21/8/2025,,2200252650,2200252650,TDET
TIJADTGM001A,TSEIJPM,Teste operativo (IJA) GM-1,MT-S-40313-INCA-GM-1,21/8/2025,21/8/2025,,2200265104,,TDET
TBRRDTGM001A,TCNBRPM,Teste operativo (BRR) GM-1,MT-S-41206-INCA-GM-1,21/8/2025,21/8/2025,,2200265103,,TDET
TBRNDTGM000A,TLEMQPM,Teste operativo (BRN) GM-1,MT-S-70250-INCA-GM-1,21/8/2025,21/8/2025,,2200265102,,TDET
TPMNDTCH001A,TCNPMPM,Teste operativo (PMN) CH-6K1,MT-S-41201-DL06-CH-6K1,22/8/2025,22/8/2025,,2200252700,2200252700,TDET
TPMNDTCH002A,TCNPMPM,Teste operativo (PMN) CH-6K2,MT-S-41201-DL06-CH-6K2,22/8/2025,22/8/2025,,2200252701,2200252701,TDET
TPMNDTCH003A,TCNPMPM,Teste operativo (PMN) CH-6K5_5T,MT-S-41201-DL06-CH-6K5_5T,22/8/2025,22/8/2025,,2200252702,2200252702,TDET
